,date_sampling,PRCP
0,2020-01-05,0.03
1,2020-01-08,0.03
2,2020-01-09,0.13
3,2020-01-11,0.02
4,2020-01-14,0.08
5,2020-01-17,0.87
6,2020-01-22,0.05
7,2020-01-26,0.14
8,2020-03-08,0.14
9,2020-03-15,0.93
10,2020-03-16,0.27
11,2020-03-18,0.04
12,2020-03-19,0.1
13,2020-03-25,0.24
14,2020-03-29,0.05
15,2020-04-05,0.12
16,2020-04-06,0.42
17,2020-05-12,0.1
18,2020-05-14,0.05
19,2020-05-17,0.25
20,2020-05-18,0.24
21,2020-11-18,0.31
22,2020-12-12,0.28
23,2020-12-13,0.11
24,2020-12-14,0.16
25,2020-12-17,0.41
26,2020-12-26,0.04
27,2020-12-28,0.04
28,2020-12-31,0.03
29,2021-01-02,0.07
30,2021-01-03,0.04
31,2021-01-04,0.02
32,2021-01-05,0.2
33,2021-01-07,0.05
34,2021-01-08,0.03
35,2021-01-22,0.03
36,2021-01-23,0.03
37,2021-01-25,0.16
38,2021-01-27,0.26
39,2021-01-28,0.26
40,2021-01-29,0.33
41,2021-01-30,0.02
42,2021-02-02,0.28
43,2021-02-12,0.24
44,2021-02-13,0.03
45,2021-02-15,0.11
46,2021-02-16,0.11
47,2021-02-19,0.06
48,2021-02-20,0.04
49,2021-03-06,0.32
50,2021-03-09,0.06
51,2021-03-10,0.26
52,2021-03-11,0.07
53,2021-03-15,0.2
54,2021-03-18,0.02
55,2021-03-19,0.4
56,2021-03-20,0.08
57,2021-05-21,0.06
58,2021-09-10,0.07
59,2021-10-18,0.06
60,2021-10-20,0.01
61,2021-10-21,0.27
62,2021-10-22,0.36
63,2021-10-23,0.12
64,2021-10-24,0.65
65,2021-10-25,3.6
66,2021-11-02,0.09
67,2021-11-04,0.06
68,2021-11-09,0.36
69,2021-11-10,0.11
70,2021-11-20,0.07
71,2021-12-07,0.04
72,2021-12-08,0.03
73,2021-12-12,0.18
74,2021-12-13,0.73
75,2021-12-14,1.59
76,2021-12-15,0.06
77,2021-12-16,0.55
78,2021-12-22,0.15
79,2021-12-23,0.84
80,2021-12-24,1.19
81,2021-12-25,0.05
82,2021-12-26,0.19
83,2021-12-27,0.31
84,2021-12-28,0.03
85,2021-12-29,0.21
