sample_code,date_sampling,sample_level,county,measurement,replicate,quality_score,detected_of_3_TechReps,value,gmean_value,gstd_value,gmean_value_upper,gmean_value_lower,sampling_days,site_pretreatment,site_population_served,percent_industrial_flow,n_sample_size
A,2021-01-12,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[75.0, 65.0]","[3, 3]","[98.44576852564313, 25.627271795312783]",50.2284428098772,2.590002307000272,130.09178275461315,19.393203887934582,Tuesday,,8400.0,0.0,43
A,2021-01-12,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[75.0, 65.0]","[3, 3]","[40149.34448863715, nan]",40149.34448863715,,,,Tuesday,,8400.0,0.0,43
A,2021-01-19,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[75.0, 85.0]","[3, 3]","[52.29240476057078, 17.89331410197287]",30.58895917693825,2.134683276745115,65.2977396080491,14.329507103076736,Tuesday,,8400.0,0.0,43
A,2021-01-19,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[75.0, 85.0]","[3, 3]","[nan, 84025.10790938148]",84025.10790938142,,,,Tuesday,,8400.0,0.0,43
A,2021-01-26,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[77.5, 82.5]","[3, 3]","[249.9776871832638, 149.7552962158223]",193.4825123660428,1.43662934366762,277.9626547515902,134.67810136196624,Tuesday,,8400.0,0.0,43
A,2021-01-26,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[77.5, 82.5]","[3, 3]","[nan, 14730.128080985914]",14730.128080985916,,,,Tuesday,,8400.0,0.0,43
A,2021-02-02,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[65.0, 95.0]","[3, 3]","[4.292327430335122, 4.286851713300378]",4.289588698089635,1.0009030386451796,4.293462362455935,4.285718528635915,Tuesday,,8400.0,0.0,43
A,2021-02-02,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[65.0, 95.0]","[3, 3]","[nan, 15228.152180200263]",15228.152180200272,,,,Tuesday,,8400.0,0.0,43
A,2021-02-09,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[90.0, 75.0]","[3, 3]","[2.5254078253225716, 1.9552731272149575]",2.222130071825587,1.1983304577915972,2.6628461462432305,1.8543549964679609,Tuesday,,8400.0,0.0,43
A,2021-02-09,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[90.0, 75.0]","[3, 3]","[17580.526618185442, nan]",17580.526618185446,,,,Tuesday,,8400.0,0.0,43
A,2021-02-16,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[95.0, 75.0]","[2, 1]","[3.0344391051765043, 2.283705122526638]",2.632444515747052,1.2225992640881465,3.218424727705223,2.153154016259296,Tuesday,,8400.0,0.0,43
A,2021-02-16,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[95.0, 75.0]","[2, 1]","[21905.831499938853, nan]",21905.831499938864,,,,Tuesday,,8400.0,0.0,43
A,2021-02-23,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[75.0, 90.0]","[2, 1]","[2.624425536762353, 1.9298034012784948]",2.2504722453845387,1.2428357497223463,2.796967360321825,1.8107559634386936,Tuesday,,8400.0,0.0,43
A,2021-02-23,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[75.0, 90.0]","[2, 1]","[nan, 24642.73838281777]",24642.738382817774,,,,Tuesday,,8400.0,0.0,43
A,2021-03-02,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[95.0, 65.0]","[3, 3]","[2.041851372104554, 3.8349285106424276]",2.798276977244768,1.5615595973715064,4.369676269920295,1.7919757798261204,Tuesday,,8400.0,0.0,43
A,2021-03-02,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[95.0, 65.0]","[3, 3]","[29361.069096309253, nan]",29361.069096309235,,,,Tuesday,,8400.0,0.0,43
A,2021-03-10,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[90.0, 70.0]","[2, 3]","[3.1378360506812943, 3.1264563289174854]",3.132141021690751,1.002572367916153,3.140198040763814,3.124104675057929,Tuesday,,8400.0,0.0,43
A,2021-03-10,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[90.0, 70.0]","[2, 3]","[13257.062983656333, nan]",13257.062983656331,,,,Tuesday,,8400.0,0.0,43
A,2021-03-16,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[90.0, 90.0]","[0, 0]","[1.9697156223070296, 1.9552731272149575]",1.9624810889668267,1.0052173653740182,1.972720069847568,1.952295251322716,Tuesday,,8400.0,0.0,43
A,2021-03-16,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[90.0, 90.0]","[0, 0]","[5230.229428265224, 2715.33917465894]",3768.533781064274,1.589684483050016,5990.779675607683,2370.6174534923134,Tuesday,,8400.0,0.0,43
A,2021-03-23,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[85.0, 80.0]","[3, 3]","[12.487206634988299, 23.281730088187274]",17.05062387219948,1.5534872938723432,26.487927538058344,10.97570861342404,Tuesday,,8400.0,0.0,43
A,2021-03-23,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[85.0, 80.0]","[3, 3]","[39896.89377529035, nan]",39896.893775290366,,,,Tuesday,,8400.0,0.0,43
A,2021-03-31,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,['2'],[55.0],[3],[2.732291844489775],2.732291844489775,,,,Tuesday,,8400.0,0.0,43
A,2021-04-06,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[85.0, 70.0]","[2, 1]","[1.9883186280601466, 2.039507093445003]",2.01375021935629,1.0181362972679104,2.0502721919578555,1.977878821096971,Tuesday,,8400.0,0.0,43
A,2021-04-06,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[85.0, 70.0]","[2, 1]","[25942.725516897088, nan]",25942.72551689708,,,,Tuesday,,8400.0,0.0,43
A,2021-04-13,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[95.0, 100.0]","[3, 3]","[62.8557530019171, 27.459909914253494]",41.545316402997976,1.7960071970869518,74.61568726503896,23.13204338511713,Tuesday,,8400.0,0.0,43
A,2021-04-13,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[95.0, 100.0]","[3, 3]","[10522.459651409761, 5056.95855481581]",7294.631063453501,1.6788855385506378,12246.850601494343,4344.92459191165,Tuesday,,8400.0,0.0,43
A,2021-04-20,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[85.0, 95.0]","[3, 3]","[4.018562488685451, 6.296269730496049]",5.030104706426804,1.3737089603067585,6.909899906499698,3.661696073747344,Tuesday,,8400.0,0.0,43
A,2021-04-20,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[85.0, 95.0]","[3, 3]","[2816.013342020232, 2413.207083541279]",2606.8416415866104,1.115332920403848,2907.4963011411555,2337.276694605863,Tuesday,,8400.0,0.0,43
