sample_code,date_sampling,sample_level,county,measurement,replicate,quality_score,detected_of_3_TechReps,value,gmean_value,gstd_value,gmean_value_upper,gmean_value_lower
A,2021-05-18,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[85.0, 75.0]","[2, 2]","[37652.90034373723, nan]",37652.9003437372,,,
A,2021-05-25,Influent,County 6,N1_per_PMMoV,"['1', '2']","[75.0, 95.0]","[1, 0]","[nan, 0.00016103567308134898]",0.0001610356730813,,,
A,2021-05-25,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[75.0, 95.0]","[1, 0]","[1.9476567255021302, 1.913189046992706]",1.9303459572139796,1.0127057597971454,1.954872469271731,1.9061271633338452
A,2021-05-25,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[75.0, 95.0]","[1, 0]","[nan, 11880.5293906912]",11880.529390691192,,,
A,2021-06-01,Influent,County 6,N1_per_PMMoV,"['1', '2']","[95.0, 70.0]","[3, 3]","[0.0001720418631415697, nan]",0.0001720418631415,,,
A,2021-06-01,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[95.0, 70.0]","[3, 3]","[2.0978104103841617, 5.90579482193461]",3.519834919289156,2.0789931920494227,7.317712834339984,1.693047833321371
A,2021-06-01,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[95.0, 70.0]","[3, 3]","[12193.604347669247, nan]",12193.60434766925,,,
A,2021-06-08,Influent,County 6,N1_per_PMMoV,"['1', '2']","[95.0, 75.0]","[0, 0]","[0.0005619382481665484, nan]",0.0005619382481665,,,
A,2021-06-08,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[95.0, 75.0]","[0, 0]","[2.026599113362888, 1.9400994300957923]",1.982877652521198,1.031324493140921,2.0449902899468837,1.9226515667074888
A,2021-06-08,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[95.0, 75.0]","[0, 0]","[3606.4445158789767, nan]",3606.444515878975,,,
A,2021-06-15,Influent,County 6,N1_per_PMMoV,"['1', '2']","[75.0, 75.0]","[2, 0]","[nan, nan]",,,,
