sample_code,date_sampling,Flow
F,2021-02-25 00:00:00,2.206683068
F,2021-02-26 00:00:00,2.193476034
F,2021-02-27 00:00:00,2.205065264
F,2021-02-28 00:00:00,2.221062717
F,2021-03-01 00:00:00,2.203096559
F,2021-03-02 00:00:00,2.154351437
F,2021-03-03 00:00:00,2.18648836
F,2021-03-04 00:00:00,2.198012378
F,2021-03-05 00:00:00,2.201377682
F,2021-03-06 00:00:00,2.362965419
F,2021-03-07 00:00:00,2.300980154
F,2021-03-08 00:00:00,2.269203668
F,2021-03-09 00:00:00,2.427238223
F,2021-03-10 00:00:00,2.651319902
F,2021-03-11 00:00:00,2.436639141
F,2021-03-12 00:00:00,2.313854634
F,2021-03-13 00:00:00,2.297129481
F,2021-03-14 00:00:00,2.486483011
F,2021-03-15 00:00:00,2.611806343
F,2021-03-16 00:00:00,2.422854661
F,2021-03-17 00:00:00,2.354048986
F,2021-03-18 00:00:00,2.837342521
F,2021-03-19 00:00:00,2.837013238
F,2021-03-20 00:00:00,2.517394044
F,2021-03-21 00:00:00,2.473565965
F,2021-03-22 00:00:00,2.430168991
F,2021-03-23 00:00:00,2.285392128
F,2021-03-24 00:00:00,2.23336202
F,2021-03-25 00:00:00,2.211533013
F,2021-03-26 00:00:00,2.142068604
F,2021-03-27 00:00:00,2.122835399
F,2021-03-28 00:00:00,2.166745576
F,2021-03-29 00:00:00,2.146755923
F,2021-03-30 00:00:00,2.143922665
F,2021-03-31 00:00:00,2.114976278
F,2021-04-01 00:00:00,2.108539519
F,2021-04-02 00:00:00,2.098039623
F,2021-04-03 00:00:00,2.063581125
F,2021-04-04 00:00:00,2.060289574
F,2021-04-05 00:00:00,2.048830701
F,2021-04-06 00:00:00,2.023707002
F,2021-04-07 00:00:00,2.032101624
F,2021-04-08 00:00:00,1.991922763
F,2021-04-09 00:00:00,1.987132881
F,2021-04-10 00:00:00,1.997840429
F,2021-04-11 00:00:00,2.072665689
F,2021-04-12 00:00:00,2.080688213
F,2021-04-13 00:00:00,2.033578998
F,2021-04-14 00:00:00,2.003955684
F,2021-04-15 00:00:00,2.010523657
F,2021-04-16 00:00:00,2.001730699
