,sample_code,max_corr_shift
0,O,0
1,V,
2,K,-1
3,B1,
4,B3,7
5,B2,7
6,B5,-1
7,B4,3
8,L,-13
9,U,
10,F,-1
11,I,1
12,D2,2
13,D1,7
14,D3,6
15,D4,14
16,D5,4
17,G,14
18,S,10
19,M,4
