,pre_delta,delta,omicron_BA1
pre_delta,1.0,0.42063492063492064,0.031746031746031744
delta,0.42063492063492064,1.0,0.007936507936507936
omicron_BA1,0.031746031746031744,0.007936507936507936,1.0
