,correlation,p
D1,0.41687979539641945,4.071859556044464e-07
D2,0.45724526369687657,1.1806723709638009e-07
K,0.4409503843466107,2.5075666324064225e-06
L,0.37096774193548393,0.0025221929498900008
M,-0.07122507122507124,0.6200814833590894
